url,views,likes,dislikes,comments,duration
https://youtu.be/13-sTb5uYH8,493171,1781,95,30,3:25
https://youtu.be/ZHNMkOQ6WpM,485500,1137,61,17,2:48
https://youtu.be/CRcYPJ-KLs4,484437,1671,132,52,4:31
https://youtu.be/ow1FfDmKv6c,471346,1966,148,37,4:05
https://youtu.be/9UhfhxILg4o,463464,2036,109,33,3:57
https://youtu.be/_cMkRK3tFQw,459967,1903,85,69,4:13
https://youtu.be/K9BDnmNx4Ic,457286,1954,92,33,3:32
https://youtu.be/YyWl8raGwyg,451898,1236,73,31,2:47
https://youtu.be/2yBuEs8UXcE,447785,1801,85,42,2:39
https://youtu.be/mHr8lcIK5AI,447606,2020,120,29,4:14
https://youtu.be/VGUGkjpM0QA,445750,2575,105,21,2:03
https://youtu.be/w4-Yja-omx8,444731,2601,131,43,2:17
https://youtu.be/spddQrkdohk,443676,1958,104,21,2:27
https://youtu.be/l6xts0RYR_k,442056,2441,105,33,1:49
https://youtu.be/aysbdAuVO4c,435273,2376,125,43,2:48
https://youtu.be/jLZNtQKFoAc,433889,2135,89,38,2:22
https://youtu.be/1KxxApbZa6M,433613,2365,98,41,3:16
https://youtu.be/379BAt3RevQ,404651,2047,112,64,3:46
https://youtu.be/6FXHg3S0F-0,404185,2367,76,41,3:13
https://youtu.be/GfQNUC7DKrE,403335,1562,65,16,1:48
https://youtu.be/nfioZxPLwBg,397850,2035,61,29,3:37
https://youtu.be/eYibG0176rM,395908,1112,35,20,2:02
https://youtu.be/5whA7Y64K-s,394561,2131,81,67,2:06
https://youtu.be/6iR5oe-tj3g,392845,1853,91,42,2:21
https://youtu.be/mSEqnf0_IJI,388556,1827,53,45,3:53
https://youtu.be/eK9amfuPTP8,380695,1466,72,32,1:28
https://youtu.be/BueL5UsNsqM,372803,1645,60,51,2:15
https://youtu.be/oguQU4NqIKM,368670,1906,90,38,4:10
https://youtu.be/SCeGm1WOxIE,366166,1688,45,36,1:46
https://youtu.be/oiqDhLquNDU,355881,3091,95,57,3:40
https://youtu.be/9waE9oRnddw,346236,2649,59,59,2:44
https://youtu.be/uObBR5ju488,345957,1444,82,24,2:31
https://youtu.be/azdBBWrI2J4,335384,1088,37,25,2:24
https://youtu.be/dXWm_NEWbfM,334203,795,38,36,1:16
https://youtu.be/0iKAm_aZ7Og,330985,1216,35,43,4:48
https://youtu.be/HrjZOMeOMzw,328905,2682,91,43,2:04
https://youtu.be/0izSdtGfw28,325513,737,44,15,2:03
https://youtu.be/HJ_hMRZ8m9c,319678,779,42,12,0:53
https://youtu.be/smPgnvUoJtU,317956,1255,51,36,4:34
https://youtu.be/088OKSJV3QE,312531,1781,51,21,1:58
https://youtu.be/b0lucYjqlUM,306652,2153,67,25,2:01
https://youtu.be/mvt-WTopZbM,305293,1358,50,15,3:25
https://youtu.be/uWqLz0r8xPM,303841,623,21,13,1:46
https://youtu.be/DMBmsT6qhSU,303294,1844,61,30,3:28
https://youtu.be/5jDf-ByIAB0,299020,1665,79,17,2:34
https://youtu.be/9OIvv9v7fh8,298616,1024,23,31,3:14
https://youtu.be/CGR8uTdJp6s,297955,1483,45,26,2:58
https://youtu.be/QDEwQvMl_Lk,283706,639,27,6,1:02
https://youtu.be/2T3Et10cvcg,282229,1030,35,27,1:55
https://youtu.be/HW_cVMBa8bU,274523,1392,41,10,2:06
https://youtu.be/KcBfrqmfrAE,273315,1381,34,30,1:17
https://youtu.be/cbR5i3gj684,263009,1686,65,32,3:46
https://youtu.be/uXOTZyBMya8,258628,1210,53,33,2:56
https://youtu.be/wf5bdasrfao,257459,521,31,6,1:44
https://youtu.be/TBpD6dgtVXM,248844,1514,36,37,2:59
https://youtu.be/XrCXyZfs3qE,245376,1548,54,34,2:24
https://youtu.be/15y8SiYBMRI,244680,915,36,17,1:38
https://youtu.be/aOZ3vbc1iFA,241251,1125,51,40,3:58
https://youtu.be/shLrtQlHw6Q,236179,1124,39,19,3:11
https://youtu.be/jNR8Sr9uLPs,231763,1192,34,20,3:02
https://youtu.be/dZ3hUkD1IiM,229352,1110,55,27,2:31
https://youtu.be/qoKYgIYwdXM,224689,797,19,15,2:05
https://youtu.be/HHQFrPhkFhE,221079,1300,54,14,2:10
https://youtu.be/dwXDsd5eBsE,218666,1124,64,30,1:56
https://youtu.be/e348pjjIcWE,216543,1191,28,26,3:18
https://youtu.be/rktRofsEmtg,212495,432,14,14,3:23
https://youtu.be/O6bcr3JS9tY,211616,769,34,12,1:37
https://youtu.be/yR5uv3YX0yk,208865,771,46,15,1:52
https://youtu.be/TraHCDDqKY8,201961,596,15,12,1:39
https://youtu.be/Rf1XdRbItq4,198995,822,28,13,2:44
https://youtu.be/KoorLL0vjEM,193798,887,17,9,1:07
https://youtu.be/IvbvzjzEYmM,193792,999,43,20,4:52
https://youtu.be/Txt4gqlSNo8,191006,932,27,12,1:36
https://youtu.be/4fWY133vYDs,190787,865,38,14,2:19
https://youtu.be/h1j5ZsxTEPA,189560,1102,63,21,2:24
https://youtu.be/udiaDq37-_E,182400,1375,25,14,1:24
https://youtu.be/4AW-D43CgQs,181379,460,17,12,1:03
https://youtu.be/v3BNi5Juk0Y,171402,635,19,16,2:11
https://youtu.be/lJxT04MIuaQ,167954,976,55,15,1:55
https://youtu.be/1knVCwhPp4A,166881,447,13,15,4:56
https://youtu.be/qbbhZKAVpmE,166136,869,29,7,1:37
https://youtu.be/SyfTHFAZynE,165430,604,14,7,1:24
https://youtu.be/OiLneEZ-2xk,163208,1197,38,23,1:51
https://youtu.be/QVR7aa5cb5I,158009,676,14,15,2:36
https://youtu.be/vy4T7AtWBpw,157117,866,29,12,1:52
https://youtu.be/WThp6Z2KXgU,154238,1115,23,28,1:45
https://youtu.be/iZWWe6T5hFI,149706,691,25,15,3:01
https://youtu.be/A2TJpch1-tw,145566,688,28,24,3:17
https://youtu.be/md3Fg6xgJfo,142175,907,25,22,1:25
https://youtu.be/fqeoB0CKcY4,127836,354,5,8,3:18
https://youtu.be/lp8MI6ZnwhM,124908,616,27,10,1:25
https://youtu.be/kKDydl5jRAY,123449,269,8,7,4:44
https://youtu.be/TDBsXssmjQk,117202,525,20,13,2:27
https://youtu.be/DeOxiMRihZ0,115048,390,17,7,1:50
https://youtu.be/ipVYU1B3mTs,112500,303,12,5,0:54
https://youtu.be/iptptJJZBT0,109908,305,12,2,1:08
https://youtu.be/xaVdaU-N7Gw,105839,248,10,11,3:08
https://youtu.be/c2e4SgVd2AU,104729,764,13,27,2:47
https://youtu.be/4om4XkM1oFw,102921,230,10,3,1:40
https://youtu.be/H-vL_9n6yVk,97112,390,10,15,2:50
https://youtu.be/AflDz3lCrhk,88536,198,9,7,2:31
https://youtu.be/S8bCsNnNnJE,82665,280,8,16,3:06
https://youtu.be/Y6B0evY1AnM,73591,330,8,10,2:32
https://youtu.be/be_Bps_kR2M,66583,316,12,2,2:32
https://youtu.be/yzBeTsyR8ys,48925,193,6,10,3:27
https://youtu.be/upv-Sbiitss,37263,103,3,3,3:27
https://youtu.be/Cx4bMlneeh8,34187,105,3,6,3:02
https://youtu.be/UsrYsIlRla8,5891533,10060,1938,271,3:07
https://youtu.be/hBNHfoPXyME,2730281,8944,810,166,4:00
https://youtu.be/s1eVDFd9meE,2104095,5714,1106,128,2:59
https://youtu.be/ZCKToD60iNY,2020261,8918,529,216,2:55
https://youtu.be/N6GbyLhKZ70,1898438,5099,817,88,1:41
https://youtu.be/C4IPn7C4Gg0,1762056,4861,682,68,2:03
https://youtu.be/aKTubiR1dpo,1734473,6812,694,124,2:24
https://youtu.be/N62KSExTcBU,1594020,6291,505,112,6:30
https://youtu.be/_OF9JzCnuPY,1543675,6701,478,142,5:59
https://youtu.be/o_E51E2o07Y,1529114,4627,432,107,2:56
https://youtu.be/ra4-H-S5D_4,1527939,7043,391,205,4:45
https://youtu.be/F7TPxt1wSDk,1431304,5881,415,94,4:00
https://youtu.be/L_5dGrklbqY,1418296,7338,570,153,3:06
https://youtu.be/Ehr0llqH58A,1414083,5019,427,79,2:07
https://youtu.be/R37WlCTJ_CI,1376788,5681,287,173,5:13
https://youtu.be/vZqFt9ZIW4w,1325064,7647,362,86,3:05
https://youtu.be/qunPSBfJJW4,1231371,6027,315,81,2:53
https://youtu.be/PyjE3Bg7VPQ,1205382,4785,243,82,3:58
https://youtu.be/pi2au8rx0XQ,1177399,4419,301,90,2:38
https://youtu.be/Q3rLzYhBZIU,1104817,4521,300,57,4:36
https://youtu.be/XI9QMVHkcIg,1096668,4189,382,79,3:32
https://youtu.be/YGHF0z6vcfg,1074137,4807,249,85,2:55
https://youtu.be/4SBSBGc4dcc,1058220,2786,245,30,2:02
https://youtu.be/oPm64B_oPe4,1028813,3901,200,46,1:19
https://youtu.be/cr5PqDj2YBA,1014978,4115,244,79,4:17
https://youtu.be/hxad0XaMleI,1008430,5506,179,235,3:37
https://youtu.be/DvZ-qwJ9C0Y,961075,4774,239,53,2:00
https://youtu.be/M1hWImC8Vl4,949941,3091,229,39,3:29
https://youtu.be/WVWD4XSgcgs,949590,4498,264,75,3:53
https://youtu.be/Xl9mFRcvF6Y,947078,3566,241,89,5:22
https://youtu.be/HlgdRBKwBM0,937715,3824,523,114,3:19
https://youtu.be/Tx4PpH29Dtw,935076,3396,254,40,4:37
https://youtu.be/85ZJo9VyhWA,921936,3210,296,40,3:04
https://youtu.be/5sXTp5UE-Vg,921247,4525,176,86,1:33
https://youtu.be/iyFXOu6etNQ,907441,3520,260,108,6:16
https://youtu.be/XVCfkSZnTLE,906924,2879,234,78,3:57
https://youtu.be/qbCuYAk4zQM,906364,4067,330,78,6:02
